"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	10/31/2020	04/30/2020	0.655	0.730	0.540	0.664	0.842	12.000	6.000	6.000	0.047	0.905	0.980	0.840	0.961	0.958	12.000	2.000	10.000	0.049	3.099	3.180	2.990	3.080	3.393	14.000	9.000	6.000	0.067	3.554	3.640	3.470	3.571	3.792	15.000	8.000	8.000	0.054	4.016	4.380	3.810	4.044	4.330	9.000	5.000	3.000	0.179	9.350	10.000	8.700	8.375	2.000	1.000	1.000	0.919	05/21/2020	0.710	0.104	0.606	17.200	0.112	0.900	02/18/2020	0.810	0.001	0.809	0.100	0.010	0.100
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	12/31/2020	03/31/2020	-7.801	-3.900	-13.130	-7.716	1.963	15.000	0.000	3.000	2.303	-4.539	1.900	-8.380	-3.848	1.381	15.000	0.000	3.000	2.513	-16.285	-3.500	-26.220	-16.304	5.399	17.000	0.000	1.000	5.486	-1.561	3.070	-13.300	-0.145	6.016	18.000	0.000	4.000	4.892	1.800	4.300	-2.780	2.342	6.760	10.000	1.000	2.000	2.474	-3.322	15.500	-20.337	11.281	4.000	1.000	2.000	17.146	04/30/2020	-2.650	-0.322	-2.328	-13.800	1.001	-0.300	01/23/2020	1.150	0.008	1.142	0.700	0.016	0.500
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	12/31/2020	03/31/2020	1.621	1.980	0.620	1.267	2.099	19.000	15.000	4.000	0.322	2.028	2.320	1.690	1.995	2.368	19.000	9.000	11.000	0.196	6.401	7.200	5.289	6.918	9.023	20.000	10.000	11.000	0.439	8.385	9.000	7.750	8.556	10.040	20.000	12.000	8.000	0.417	9.447	10.500	8.750	9.357	10.560	4.000	1.000	2.000	0.751	7.400	7.400	7.400	7.000	1.000	1.000	0.000	-9999999999.990	05/19/2020	0.910	-0.821	1.731	-47.400	0.450	-1.800	02/18/2020	1.640	0.292	1.348	21.700	0.033	8.800
"Apple Inc."	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	09/30/2020	03/31/2020	1.990	2.300	1.550	1.984	2.445	31.000	2.000	0.000	0.189	2.807	3.410	2.090	2.812	3.218	30.000	3.000	1.000	0.303	12.373	13.290	11.620	12.345	13.004	38.000	5.000	2.000	0.387	14.846	16.750	12.480	14.798	14.862	36.000	5.000	2.000	0.990	16.428	19.200	14.220	16.328	15.952	15.000	3.000	0.000	1.457	11.477	13.763	6.600	11.471	5.000	1.000	1.000	2.913	04/30/2020	2.550	0.289	2.261	12.800	0.257	1.100	01/28/2020	4.990	0.443	4.547	9.700	0.097	4.600
"AbbVie Inc"	"ABBV"	"N - New York"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	12/31/2020	03/31/2020	2.151	2.500	1.740	2.152	2.240	8.000	2.000	2.000	0.223	2.744	3.000	2.500	2.636	2.380	11.000	3.000	1.000	0.165	10.285	11.010	9.550	9.983	9.532	11.000	4.000	0.000	0.473	11.714	12.700	10.300	11.256	10.338	14.000	4.000	0.000	0.673	13.179	14.220	12.210	12.474	11.283	11.000	4.000	0.000	0.588	10.250	19.000	4.000	4.000	4.000	2.000	1.000	7.412	05/01/2020	2.420	0.174	2.246	7.700	0.083	2.100	02/07/2020	2.210	0.018	2.192	0.800	0.014	1.300
"AmerisourceBergen Corp."	"ABC"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	09/30/2020	03/31/2020	1.564	1.640	1.430	1.719	1.928	15.000	1.000	12.000	0.046	1.723	1.795	1.580	1.659	1.745	15.000	8.000	4.000	0.057	7.460	7.550	7.170	7.485	7.705	18.000	4.000	14.000	0.085	8.176	8.620	7.680	8.183	8.242	16.000	5.000	8.000	0.232	8.967	9.430	8.510	8.885	8.917	11.000	5.000	5.000	0.294	8.230	9.391	7.100	8.269	3.000	2.000	2.000	1.146	05/07/2020	2.400	0.134	2.266	5.900	0.040	3.400	01/30/2020	1.760	0.088	1.672	5.300	0.031	2.800
"ABIOMED, Inc."	"ABMD"	"M - Nasdaq"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	03/31/2021	03/31/2020	0.294	0.490	0.050	0.773	1.070	9.000	0.000	6.000	0.158	0.740	1.060	0.490	0.993	1.084	9.000	0.000	6.000	0.170	3.382	4.080	2.840	4.202	4.681	9.000	0.000	8.000	0.402	4.833	5.750	4.180	5.108	5.475	9.000	0.000	4.000	0.479	5.923	7.040	4.800	5.715	6.240	3.000	0.000	2.000	1.120	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	04/30/2020	0.700	-0.236	0.936	-25.200	0.091	-2.600	02/06/2020	1.510	0.423	1.087	38.900	0.029	14.600
"Abbott Laboratories"	"ABT"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	12/31/2020	03/31/2020	0.408	0.530	0.290	0.407	0.898	18.000	0.000	1.000	0.070	0.774	0.890	0.540	0.772	0.941	18.000	0.000	1.000	0.089	2.824	3.570	2.190	2.826	3.600	21.000	0.000	1.000	0.264	3.668	4.170	3.120	3.668	4.020	21.000	0.000	1.000	0.248	4.134	4.822	3.660	4.132	4.464	15.000	0.000	2.000	0.272	10.277	14.109	8.300	10.502	4.000	0.000	0.000	2.656	04/16/2020	0.650	0.068	0.582	11.700	0.125	0.500	01/22/2020	0.950	0.004	0.946	0.400	0.005	0.800
"Accenture Plc"	"ACN"	"N - New York"	"57  - Technology"	"57201010 - IT Services & Consulting"	08/31/2020	02/29/2020	1.853	2.000	1.700	1.855	1.947	24.000	0.000	0.000	0.054	1.736	1.830	1.600	1.736	1.820	24.000	0.000	0.000	0.050	7.596	7.700	7.490	7.595	7.810	28.000	0.000	1.000	0.062	8.047	8.610	6.630	8.071	8.584	28.000	0.000	1.000	0.375	8.755	9.630	8.040	8.785	9.438	19.000	0.000	1.000	0.390	7.365	10.000	5.846	7.365	3.000	0.000	0.000	2.291	03/19/2020	1.910	0.188	1.722	10.900	0.026	7.200	12/19/2019	2.090	0.095	1.995	4.800	0.027	3.500
"Adobe Inc"	"ADBE"	"M - Nasdaq"	"57  - Technology"	"57201020 - Software"	11/30/2020	02/29/2020	2.333	2.430	2.000	2.329	2.349	23.000	1.000	0.000	0.078	2.465	2.660	2.250	2.464	2.484	22.000	0.000	1.000	0.089	9.727	10.330	9.010	9.747	9.790	28.000	0.000	3.000	0.254	11.120	12.310	10.080	11.169	11.211	28.000	0.000	3.000	0.503	13.003	14.090	11.650	13.093	13.178	12.000	2.000	1.000	0.687	20.000	20.000	20.000	20.000	1.000	0.000	0.000	-9999999999.990	03/12/2020	2.270	0.043	2.227	1.900	0.036	1.200	12/12/2019	2.290	0.033	2.257	1.500	0.016	2.100
