"FLWS"	11.600	6.400	4.400	15.700	5.100	6.900	4.900	17.500	-6.900	-6.200	-1.100	1.200	-3.700	-11.500	-5.900	-2.100	-11.700	-7.400	-24.900	-15.700	-5.100	-6.900	-4.900	-17.500	-44.800	274.900	-112.800	-18.900	-42.600	249.000	-109.400	-6.200
"TXG"	8.100	6.600	13.700	-9999999999.990	-9999999999.990	2.400	-9999999999.990	-9999999999.990	-33.800	-1.100	415.600	-9999999999.990	-9999999999.990	35.900	-9999999999.990	-9999999999.990	-8.100	-6.600	-13.700	-9999999999.990	-9999999999.990	-2.800	-9999999999.990	-9999999999.990	-2.600	6.700	14.500	-9999999999.990	-9999999999.990	-51.000	-9999999999.990	-9999999999.990
"YI"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9.100	1.300	8.100	3.000	2.900	0.000	98.200	39.300	-0.600	15.500	26.400	-7.400	-0.900	14.700	-21.200	19.400	-15.800	-10.100	-40.700	-13.200	-8.400	-18.100	-23.500	-4.100
"RETC"	0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.700	0.100	0.200	0.400	0.800	0.200	0.400	0.500	0.000	0.000	0.000	-0.200	-0.300	0.000	-0.100	-0.100	-0.700	-0.100	-0.100	-0.200	-0.600	-0.200	-0.300	-0.500
"PIH"	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.400	-0.400	-0.400	-0.400	-0.400	-0.400	-0.400	-0.400	0.000	6.700	10.300	8.600	-6.000	-2.100	-5.600	-10.200	-0.500	-14.400	-6.300	-1.700	1.700	3.300	5.300	5.300
"TURN"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	-0.100	-5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.500	-1.900	-3.900	8.300	-1.400	-10.400	7.100	1.500
"EFSH"	0.000	0.200	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-1.200	2.200	0.500	-0.600	-0.300	-0.700	-0.100	0.800	0.000	-1.200	-0.200	1.300	0.000	0.100	0.000	0.200	1.200	-1.000	-0.500	-0.400	0.000	0.900	0.000	-0.900
"BCOW"	0.100	-0.700	-9999999999.990	-9999999999.990	-9999999999.990	0.500	0.400	-9999999999.990	21.400	-13.800	-42.800	-17.600	19.000	-2.100	-0.100	0.100	10.100	11.400	16.700	21.100	8.900	2.300	-0.400	-2.100	-1.300	3.700	0.300	-1.900	-1.100	-1.200	1.400	1.800
"ONEM"	20.500	16.800	16.900	14.400	6.300	3.600	2.000	-9999999999.990	261.700	0.000	-0.400	-0.400	-0.500	-5.200	220.100	-9999999999.990	33.300	3.100	-16.800	26.200	11.200	-19.000	-162.600	-9999999999.990	-12.700	-7.600	-9.700	-3.000	-11.400	-7.100	-7.800	-9999999999.990
"FCCY"	0.000	-0.500	0.300	0.200	0.200	0.100	0.100	0.400	21.700	-41.900	33.600	108.800	-5.800	-19.300	-34.400	66.400	-23.000	29.600	-43.900	-94.700	-1.000	11.800	19.700	-54.300	-1.500	6.400	1.000	0.800	5.100	5.100	3.300	2.600
"SRCE"	1.700	-1.500	-0.600	1.700	2.800	0.100	1.600	-0.200	62.000	-92.900	-0.100	203.800	42.800	-44.800	-40.000	241.500	-56.400	-32.500	3.900	-198.800	-106.500	-22.100	-13.200	-183.600	33.300	81.400	27.300	20.600	35.400	67.300	22.600	35.500
"ETFM"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.100	0.100	0.000	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.100	-0.100	-0.100	0.000	-0.100
"VNET"	61.600	-108.300	63.400	29.500	18.900	18.400	17.400	12.900	152.100	-24.500	-7.700	121.200	-23.700	1.700	11.500	-11.900	-34.900	-77.800	-86.900	-46.800	-16.300	-47.800	-15.400	31.500	8.300	76.400	14.600	18.000	4.600	33.500	36.800	15.700
"XXII"	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	10.300	0.000	-0.400	0.000	-0.100	0.000	-0.500	4.900	-7.600	2.700	4.700	4.700	5.200	1.600	3.600	-4.700	-2.900	-3.000	-4.100	-4.700	-5.300	-4.200	-5.200
"TWOU"	2.400	2.100	3.200	5.000	3.200	4.000	2.900	3.300	-2.500	1.800	2.400	239.700	0.600	2.200	-1.400	331.100	-19.100	-16.400	-26.700	-414.200	6.000	-17.400	-39.800	-21.600	-9.900	33.700	-37.700	-15.400	-32.500	22.900	-5.800	-1.400
"QFIN"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"KRKR"	-9999999999.990	-9999999999.990	-9999999999.990	0.300	0.100	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.800	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	8.200	1.200	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-6.800	-6.600	-9999999999.990	-9999999999.990	-9999999999.990
"DDD"	4.400	5.700	3.900	5.500	8.800	12.400	10.200	7.300	1.200	-8.600	-23.300	-23.100	73.700	23.200	-4.100	-1.200	-16.600	-8.500	-4.100	-5.400	-8.900	-12.300	-10.900	-7.600	-2.300	21.500	6.500	18.700	-15.200	7.700	-12.100	10.700
