"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	10/31/2021	10/31/2020	0.886	0.940	0.860	0.885	0.884	16.000	1.000	0.000	0.020	0.828	0.910	0.790	0.827	0.850	17.000	2.000	0.000	0.028	3.687	3.840	3.619	3.681	3.669	19.000	3.000	1.000	0.062	4.150	4.540	3.998	4.129	4.150	17.000	3.000	0.000	0.135	4.728	5.710	4.410	4.715	4.562	10.000	1.000	0.000	0.387	9.300	9.300	9.300	9.300	1.000	0.000	0.000	-9999999999.990	11/23/2020	0.980	0.051	0.929	5.500	0.057	0.900	08/18/2020	0.780	0.117	0.663	17.600	0.045	2.600
"Alcoa Corp"	"AA"	"N - New York"	"51  - Basic Materials"	"51201030 - Metals & Mining - Aluminum"	12/31/2020	09/30/2020	0.118	0.320	-0.120	0.038	-0.182	8.000	4.000	1.000	0.176	0.233	0.690	-0.150	0.003	-0.085	9.000	5.000	1.000	0.293	-1.361	-1.100	-1.560	-1.454	-1.532	12.000	3.000	2.000	0.172	0.745	2.590	-0.660	0.200	-0.027	13.000	5.000	3.000	1.013	0.725	2.023	-1.070	0.640	0.356	8.000	2.000	1.000	1.055	285.100	285.100	285.100	239.200	1.000	1.000	0.000	-9999999999.990	10/14/2020	-1.170	0.206	-1.376	15.000	0.308	0.700	07/15/2020	-0.020	0.365	-0.385	94.800	0.396	0.900
"ATA Creativity Global(ADR)"	"AACG"	"M - Nasdaq"	"63  - Academic & Educational Services"	"63103010 - Professional & Business Education"	/  /	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Arlington Asset Investment Cor"	"AAIC"	"N - New York"	"55  - Financials"	"55102020 - Investment Management & Fund Operators"	12/31/2020	09/30/2020	0.044	0.050	0.033	0.044	0.037	3.000	0.000	0.000	0.010	0.065	0.100	0.045	0.065	0.059	3.000	0.000	0.000	0.030	0.255	0.260	0.246	0.255	0.246	3.000	0.000	0.000	0.008	0.277	0.400	0.202	0.277	0.238	3.000	0.000	0.000	0.107	0.204	0.204	0.204	0.204	0.296	1.000	0.000	0.000	-9999999999.990	-38.560	-38.560	-38.560	-38.560	1.000	0.000	0.000	-9999999999.990	11/04/2020	0.030	0.002	0.028	7.100	0.015	0.100	07/30/2020	0.010	-0.014	0.024	-58.300	0.029	-0.500
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	12/31/2020	09/30/2020	-4.093	-3.250	-4.690	-4.147	-3.862	18.000	4.000	4.000	0.420	-2.631	-1.790	-3.920	-2.708	-2.400	13.000	3.000	2.000	0.617	-19.978	-19.200	-21.070	-20.069	-19.587	19.000	4.000	3.000	0.511	-5.433	-0.650	-10.070	-5.491	-4.287	22.000	5.000	3.000	2.640	0.208	3.380	-5.300	0.361	1.053	18.000	4.000	5.000	2.587	-44.063	-37.091	-52.300	-38.497	4.000	0.000	1.000	6.521	10/18/2020	-5.540	0.337	-5.877	5.700	0.875	0.400	07/23/2020	-7.820	-0.116	-7.704	-1.500	2.037	-0.100
"Altisource Asset Management Co"	"AAMC"	"A - American"	"60  - Real Estate"	"60101020 - Real Estate Services"	/  /	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Atlantic American Corporation"	"AAME"	"M - Nasdaq"	"55  - Financials"	"55301030 - Insurance - Life & Health"	/  /	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Aaron S Company Inc"	"AAN"	"N - New York"	"55  - Financials"	"55101030 - Consumer Lending"	12/31/2020	12/31/2019	0.733	1.010	0.580	0.712	-9999999999.990	8.000	1.000	0.000	0.143	0.436	0.520	0.180	0.423	-9999999999.990	8.000	0.000	1.000	0.110	3.435	4.470	2.530	3.706	-9999999999.990	8.000	1.000	0.000	0.760	2.002	2.400	1.760	1.948	-9999999999.990	9.000	1.000	0.000	0.235	2.340	2.980	2.000	-9999999999.990	-9999999999.990	6.000	0.000	0.000	0.366	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	02/21/2020	-9999999999.990	0.000	-9999999999.990	-9999999999.990	-9999999999.990	0.000	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Applied Optoelectronics Inc"	"AAOI"	"M - Nasdaq"	"57  - Technology"	"57104010 - Electronic Equipment & Parts"	12/31/2020	09/30/2020	-0.232	-0.210	-0.259	-0.232	0.001	9.000	0.000	0.000	0.016	-0.254	-0.110	-0.330	-0.254	-0.054	8.000	0.000	0.000	0.071	-0.951	-0.930	-0.995	-0.951	-0.735	9.000	0.000	0.000	0.021	-0.509	-0.070	-0.712	-0.509	0.134	9.000	0.000	0.000	0.192	-0.019	0.280	-0.293	-0.019	0.670	4.000	0.000	0.000	0.255	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/05/2020	-0.060	0.024	-0.084	28.600	0.026	0.900	08/06/2020	-0.240	0.013	-0.253	5.100	0.022	0.600
"AAON, Inc."	"AAON"	"M - Nasdaq"	"52  - Industrials"	"52102030 - Electrical Components & Equipment"	12/31/2020	09/30/2020	0.290	0.300	0.270	0.285	0.282	3.000	0.000	0.000	0.017	0.290	0.300	0.280	0.280	-9999999999.990	2.000	0.000	0.000	0.014	1.430	1.440	1.410	1.425	1.381	3.000	0.000	0.000	0.017	1.313	1.400	1.200	1.300	1.220	3.000	0.000	0.000	0.103	1.580	1.820	1.340	1.340	-9999999999.990	2.000	0.000	0.000	0.339	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/05/2020	0.380	0.045	0.335	13.400	0.050	0.900	08/06/2020	0.340	-0.024	0.364	-6.600	0.022	-1.100
