Code,Exchange
XOM,US
CVX,US
TOT,US
BP,US
ENB,US
CEO,US
COP,US
EPD,US
DQ,US
TRP,US
E,US
SLB,US
EOG,US
PSX,US
MPC,US
CNQ,US
WMB,US
VLO,US
ENPH,US
MPLX,US
