Code,Exchange
BHP,US
BBL,US
RIO,US
SCCO,US
NEM,US
FCX,US
GOLD,US
MT,US
NUE,US
AEM,US
AU,US
STLD,US
RS,US
RGLD,US
PAAS,US
TX,US
AA,US
ARNC,US
CMC,US
CRS,US
