Code,Exchange
AMZN,US
HD,US
COST,US
JD,US
LOW,US
TGT,US
TJX,US
DG,US
ROST,US
ORLY,US
BBY,US
ETSY,US
CPRT,US
W,US
DLTR,US
KMX,US
TSCO,US
ULTA,US
BURL,US
LB,US
