Code,Exchange
ADI,US
AMAT,US
APPS,US
ATVI,US
CALX,US
CHGG,US
CORT,US
CZR,US
DAR,US
DFS,US
DKS,US
DM,US
EMR,US
ENTG,US
ETSY,US
FTAI,US
GM,US
HALO,US
IIVI,US
KKR,US
KMX,US
LYV,US
NTLA,US
NUAN,US
ON,US
PACB,US
QCOM,US
QRVO,US
REGI,US
SCCO,US
SHAK,US
TER,US
TSCO,US
VUZI,US
EVRI,US
NWSA,US
KKR,US
VCEL,US
RCII,US
SNAP,US
SCCO,US
