Code,Exchange
MCD,US
SBUX,US
LVS,US
MAR,US
YUM,US
HLT,US
YUMC,US
EXPE,US
CCL,US
HTHT,US
LYV,US
MGM,US
DRI,US
PENN,US
DPZ,US
RCL,US
POOL,US
WYNN,US
CZR,US
MTN,US
