Code,Exchange
UNP,US
UPS,US
CNI,US
FDX,US
CSX,US
NSC,US
LUV,US
ZTO,US
DAL,US
ODFL,US
RYAAY,US
KSU,US
EXPD,US
JBHT,US
UAL,US
CHRW,US
XPO,US
KNX,US
ALK,US
KEX,US
