Code,Exchange
AMT,US
PLD,US
CCI,US
EQIX,US
ZG,US
PSA,US
DLR,US
SPG,US
SBAC,US
WY,US
AVB,US
EQR,US
ARE,US
O,US
VTR,US
ESS,US
INVH,US
MAA,US
DRE,US
EXR,US
