Code,Exchange
AAPL,US
TSM,US
NVDA,US
INTC,US
ASML,US
CSCO,US
AVGO,US
QCOM,US
TXN,US
SNE,US
AMD,US
AMAT,US
MU,US
LRCX,US
ADI,US
NXPI,US
KLAC,US
EMR,US
ETN,US
TEL,US
