Code, RVOL, Prem, CIV, CPrem, PIV, PPrem, CallToPut, Puts, Calls, PC, POI, COI, POICOI, PCost(M), CCost(M), POICost(M), COICost(M), Cost Ratio
BOTZ, 17.674918016213176, 96.78874871212582, 35.2655, 99.52284908847109, 34.299, 94.05464833578054, 2.817866410099427, 8, 538, 0.01486988847583643, 1306, 5306, 0.24613644930267622, 0, 2, 12, 85, 0.1411764705882353
DIA, 19.824854695858775, 51.036415950401675, 29.6665, 49.642963114362956, 30.219, 52.4298687864404, -1.8283199311691476, 48269, 35589, 1.3562898648458794, 330759, 298359, 1.108594009230491, 1501, 1628, 27268, 25109, 1.085985104942451
GLD, 12.598091916584565, 67.28823015059902, 21.191, 68.20801229512728, 20.959249999999997, 66.36844800607078, 1.1057170461729555, 58537, 127508, 0.4590849201618722, 1236755, 2692423, 0.4593464697040547, 1114, 3377, 51111, 235250, 0.2172624867162593
HYG, 5.569570378371059, 138.16020085699125, 14.380749999999999, 158.20214169204846, 12.14825, 118.11826002193402, 18.37713250879756, 510142, 84290, 6.05222446316289, 3852186, 800109, 4.814576513949974, 2615, 569, 24456, 4142, 5.904394012554322
IAI, 21.153420423510987, 87.07140125678053, 35.394, 67.32045830593576, 43.75, 106.8223442076253, -19.099428571428575, 1, 1, 1.0, 8, 54, 0.14814814814814814, 0, 0, 0, 2, 0.0
IBB, 18.9490885815227, 80.73626524388713, 34.5265, 82.20665258627196, 33.96925, 79.26587790150231, 1.6404542343442898, 7025, 15583, 0.4508117820702047, 124537, 88196, 1.4120481654496801, 135, 303, 4214, 4810, 0.8760914760914761
IEO, 42.81625469683811, 43.87643299531572, 68.822, 60.73801991158832, 54.382999999999996, 27.01484607904312, 26.55057646691064, 5, 2, 2.5, 70, 788, 0.08883248730964467, 0, 0, 1, 9, 0.1111111111111111
IEZ, 50.282293987158646, 34.21772287723263, 71.94749999999999, 43.08714717426043, 63.028000000000006, 25.34829858020484, 14.151646887097783, 0, 3, 0.0, 203, 1009, 0.20118929633300298, 0, 0, 9, 1, 9.0
IGE, 28.081600486444934, 85.31529221462861, 54.1995, 93.00716149053629, 49.8795, 77.62342293872094, 8.660872703214736, 0, 0, 0.0, 81, 51, 1.588235294117647, 0, 0, 0, 0, 0.0
IGV, 20.189699296667936, 88.0389571045547, 38.324, 89.81956807214513, 37.605000000000004, 86.25834613696426, 1.9119797899215456, 359, 483, 0.7432712215320911, 34922, 51772, 0.6745344974117283, 37, 89, 1858, 12311, 0.1509219397286979
IHE, 18.548219692121336, 22.131667491637184, 24.48, 31.980321596030524, 20.8265, 12.283013387243846, 17.542553957698132, 0, 1, 0.0, 43, 54, 0.7962962962962963, 0, 0, 4, 7, 0.5714285714285714
ITA, 25.915873293796082, 51.02520203079352, 40.958, 58.042137093658354, 37.321, 44.0082669679287, 9.745183676750344, 61, 134, 0.4552238805970149, 940, 3323, 0.28287691844718627, 1, 6, 100, 137, 0.7299270072992701
IWM, 22.337829384299848, 67.43233801529135, 37.75125, 69.00142511847405, 37.05025, 65.86325091210867, 1.8920250200740867, 617194, 246173, 2.50715553695978, 4570608, 2214258, 2.0641713838224813, 11806, 9711, 161041, 251959, 0.6391555768994162
