Code,Exchange
IEZ,US
KRE,US
XLB,US
XRT,US
XHB,US
XLE,US
USRT,US
KIE,US
PICK,US
XLY,US
JKJ,US
XLF,US
JKG,WI
XLC,US
IYT,US
IWM,US
SPY,US
WOOD,US
XLRE,US
DIA,US
HYG,US
QQQ,US
XLI,US
TLT,US
SMH,US
GLD,US
BOTZ,US
SLV,US
IAI,US
XLV,US
XLK,US
XLP,US
XLU,US
RING,US
ITA,US
IGV,US
IBB,US
