"A"	43.000	32.000	52.000	24.000	-13.000	76.000	54.000	38.000	-67.000	-58.000	-56.000	-110.000	169.000	-271.000	-62.000	-237.000	-43.000	-101.000	-78.000	-24.000	-80.000	-56.000	-550.000	-174.000	257.000	116.000	234.000	199.000	145.000	215.000	478.000	199.000
"AA"	71.000	146.000	73.000	185.000	99.000	133.000	101.000	157.000	-260.000	-698.000	-35.000	250.000	247.000	123.000	41.000	-326.000	131.000	1082.000	38.000	-43.000	-103.000	-160.000	-113.000	-111.000	74.000	239.000	-99.000	-451.000	-359.000	53.000	311.000	511.000
"AAAP"	1.800	2.900	5.400	4.800	4.600	5.100	1.900	2.300	164.700	-1.700	-5.300	-1.800	81.300	-1.500	24.800	-1.700	-2.600	-3.200	-7.800	-26.800	-4.700	-4.500	-1.700	-2.500	-0.700	2.400	-4.200	-3.100	1.000	-0.900	-1.000	-3.400
"AABA"	61.200	41.600	43.200	78.700	77.600	-330.700	594.700	46.100	-71.800	-37.100	-73.100	-50.000	-33.500	349.900	-397.200	134.300	46.000	-482.000	-71.500	-523.800	-496.900	-1283.500	1539.600	-1922.700	214.500	255.300	217.900	409.900	365.800	2624.500	-2378.400	3268.900
"AAC"	10.700	7.300	10.200	12.700	7.000	8.700	8.700	23.000	8.200	-0.800	21.200	23.300	-2.200	23.200	45.600	-0.300	-10.700	-7.300	-10.200	-31.300	-7.600	-15.600	-79.100	-23.000	4.400	-1.200	-5.000	2.000	4.300	0.400	-0.800	9.100
"AAL"	1714.000	1460.000	1208.000	1506.000	1557.000	1530.000	1482.000	1730.000	-349.000	370.000	-258.000	-605.000	-401.000	-1292.000	221.000	-950.000	-1849.000	-1056.000	-871.000	-1657.000	-2114.000	438.000	-1337.000	-1493.000	2250.000	627.000	1064.000	2213.000	2620.000	228.000	1180.000	2347.000
"AAMC"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.900	-4.200	-0.700	-4.300	-2.300	-209.300	38.300	13.500	0.000	0.000	0.000	0.000	-132.300	293.900	10.800	74.300	-5.800	2.900	3.200	2.000	-8.300	-52.700	-42.400	-40.300
"AAME"	0.100	0.100	0.100	0.000	0.200	0.100	0.000	0.100	-0.100	-0.500	-0.100	-0.700	-0.200	-1.000	-0.200	-0.500	3.700	-1.700	-7.700	4.900	2.300	-1.600	-18.700	11.400	-6.100	3.600	5.700	-1.100	-7.000	3.600	0.600	2.300
"AAN"	12.500	11.500	15.000	16.900	14.100	23.100	15.600	12.100	-53.600	0.100	-34.000	-26.400	-91.500	69.100	-3.900	-25.400	-10.700	-16.100	-24.900	20.000	0.900	-74.500	-14.300	-7.700	104.200	5.000	136.100	129.800	194.500	-46.500	-6.000	-5.600
"AAOI"	7.700	9.200	6.700	17.700	16.400	25.300	14.700	4.700	7.700	-21.900	8.200	-8.100	26.500	14.100	28.200	14.400	-8.900	-9.600	-5.500	-8.700	-17.700	-26.000	-12.500	9.600	9.700	28.700	6.200	13.200	8.900	4.700	-9.300	17.000
