"A"	33.000	34.000	30.000	47.000	39.000	39.000	36.000	33.000	-156.000	-61.000	497.000	-582.000	-92.000	-122.000	-131.000	-589.000	-53.000	-35.000	-1193.000	-51.000	-56.000	-290.000	-114.000	-473.000	313.000	-59.000	314.000	242.000	252.000	213.000	372.000	197.000
"AA"	77.000	91.000	134.000	87.000	89.000	69.000	148.000	82.000	-71.000	-44.000	-93.000	-81.000	-71.000	-199.000	-294.000	-280.000	-79.000	107.000	-134.000	-76.000	-199.000	-59.000	-148.000	-83.000	288.000	-90.000	262.000	174.000	82.000	168.000	535.000	288.000
"AACG"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"AACH"	0.700	1.100	0.900	3.500	4.300	3.900	7.300	5.900	-0.400	-0.700	22.100	12.700	2.900	-2.400	92.000	-1.000	-0.700	-1.100	0.000	-3.500	-4.900	-3.900	-72.500	-6.900	0.000	-13.500	-9.600	-9.100	-4.000	3.300	-19.000	5.300
"AAL"	388.000	845.000	1139.000	806.000	1018.000	1305.000	1009.000	1005.000	7688.000	526.000	-1272.000	-366.000	1179.000	-1109.000	-367.000	636.000	-6799.000	-162.000	639.000	-469.000	-1933.000	-480.000	-390.000	-548.000	-908.000	-168.000	600.000	828.000	736.000	1651.000	716.000	-77.000
"AAMC"	0.000	0.100	0.100	0.000	0.100	0.100	0.000	0.100	-0.200	0.000	0.000	0.000	-0.200	-3.300	-0.100	0.000	0.500	0.400	-0.200	-0.300	-0.100	-0.400	-0.100	0.200	-3.400	-1.900	0.800	-0.900	-4.700	0.700	1.200	0.000
"AAME"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.000	-0.400	0.000	-0.500	-0.100	-0.500	-0.100	-0.800	6.000	-28.500	24.900	3.600	3.000	-6.500	1.400	-0.600	-10.500	5.800	-0.400	-0.300	-6.900	9.600	1.300	0.500
"AAN"	10.300	23.600	25.900	19.000	24.300	23.800	25.900	20.100	-361.300	296.200	-35.900	-28.200	-74.600	-29.900	57.700	-6.800	-9.700	-30.600	-23.100	-27.900	-29.300	-26.000	-70.800	-148.800	133.000	227.800	-33.600	106.100	79.900	164.700	-6.500	96.200
"AAOI"	4.000	2.800	2.800	-0.300	13.500	12.800	19.600	21.400	18.200	6.900	3.000	0.200	11.300	28.000	16.900	8.600	-6.000	-3.200	-5.100	-6.200	-11.800	-9.000	-5.500	-35.800	-15.500	-8.200	-3.200	-5.800	7.100	0.000	-11.600	7.500
"AAON"	11.600	21.900	6.300	14.000	8.000	8.800	2.900	8.400	5.200	-8.000	-5.000	-10.000	-2.400	-1.100	-16.400	-13.200	-11.600	-21.800	-6.300	-10.000	-12.000	-8.700	0.500	-3.300	25.200	37.600	27.300	34.700	21.000	14.900	10.700	7.900
"AAP"	83.000	100.900	57.800	50.100	61.300	88.600	43.300	27.300	936.900	-11.300	-332.300	-35.400	-503.200	-110.300	-128.400	1.500	-83.100	-302.400	-57.700	-42.100	-60.800	-88.100	-42.400	-27.300	10.900	158.400	216.400	287.600	204.500	129.500	237.500	290.000
"AAPL"	1565.000	1853.000	2107.000	2777.000	2000.000	2363.000	3355.000	3041.000	-19116.000	-20940.000	-25407.000	-21039.000	-26804.000	-29457.000	-13676.000	-22580.000	-5165.000	9013.000	-13668.000	-798.000	27502.000	13348.000	5844.000	-3001.000	16271.000	13311.000	30516.000	19910.000	11636.000	11155.000	26690.000	19523.000
"AASP"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"AAT"	14.700	20.500	22.800	17.700	26.900	20.900	22.700	11.300	84.700	-74.100	-23.200	43.600	484.400	-7.400	1.100	-17.800	-15.200	-23.900	-25.200	-24.000	-527.600	-22.400	-27.600	-13.400	23.800	45.400	31.700	51.900	33.300	36.800	17.600	36.600
"AATP"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	-9999999999.990	-9999999999.990	0.000	0.100	-9999999999.990	-9999999999.990	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-0.500	-0.200	0.000	-0.100	-0.200	-0.400	-0.400	0.300	-0.100
"AAU"	0.000	0.000	0.300	0.000	0.100	0.000	0.000	0.600	0.000	2.100	0.600	0.600	0.000	0.000	0.000	-0.100	-0.200	-0.600	-0.900	-0.500	-0.800	-0.600	-2.400	-2.100	-0.300	-0.300	0.000	-0.300	-0.400	-0.700	-0.300	-0.600
"AAWW"	5.300	8.300	26.000	30.800	46.200	30.600	29.600	30.000	65.700	39.600	2.600	-44.000	-15.300	-77.200	-72.300	30.900	-50.700	10.700	-77.000	-80.300	-83.600	-44.800	-82.600	-120.900	488.500	71.800	107.100	84.300	55.200	53.800	161.500	88.200
"AAXN"	2.200	3.800	4.300	2.600	5.300	4.300	2.200	3.600	-5.200	-0.800	-1.100	-0.900	-1.200	-2.800	-1.000	226.600	-22.100	-77.800	-38.000	-14.100	-110.800	-3.900	1.200	-8.500	13.400	45.800	22.400	11.400	-14.000	31.200	16.500	-1.900
